['1986', 'australia-in-india-odi-series', 'ind-vs-aus-6th-odi-australia-in-india-odi-series', 'INDIA', 'AUSTRALIA', 'INDIA', 'Oct 07', '05:30 AM \xa0LOCAL', 'INDIA==260==6==48', 'AUSTRALIA==263==3==46', 'AUSTRALIA', 'AUSTRALIA', '17']


['2003', 'australia-india-new-zealand-in-india', 'ind-vs-aus-final-australia-india-new-zealand-in-india', 'INDIA', 'AUSTRALIA', 'INDIA', 'Nov 18', '05:30 AM \xa0LOCAL', 'AUSTRALIA==235==5==50', 'INDIA==198==10==41', 'AUSTRALIA', 'AUSTRALIA', '18']


['2002', 'pakistan-v-west-indies-odi-series', 'pak-vs-wi-1st-odi-pakistan-v-west-indies-odi-series', 'PAKISTAN', 'WEST INDIES', 'UNITED ARAB EMIRATES', 'Feb 14', '04:00 AM \xa0LOCAL', 'WEST INDIES==190==10==48', 'PAKISTAN==193==6==46', 'WEST INDIES', 'PAKISTAN', '19']


['1993', 'england-in-india-odi-series', 'ind-vs-eng-4th-odi-england-in-india-odi-series', 'INDIA', 'ENGLAND', 'INDIA', 'Feb 26', '05:30 AM \xa0LOCAL', 'ENGLAND==218==9==47', 'INDIA==170==10==41', 'INDIA', 'ENGLAND', '20']


['2015', 'icc-world-twenty20-qualifier-2015', 'sco-vs-hk-1st-semi-final-icc-world-twenty20-qualifier-2015', 'SCOTLAND', 'HONG KONG', 'IRELAND', 'Jul 25', '10:00 AM \xa0LOCAL', 'HONG KONG==116==10==19', 'SCOTLAND==117==5==12', 'SCOTLAND', 'SCOTLAND', '21']


['2011', 'sri-lanka-in-england-2011', 'eng-vs-sl-4th-odi-sri-lanka-in-england-2011', 'ENGLAND', 'SRI LANKA', 'ENGLAND', 'Jul 06', '02:00 PM \xa0LOCAL', 'SRI LANKA==174==10==43', 'ENGLAND==171==0==23', 'ENGLAND', 'ENGLAND', '22']


['2011', 'new-zealand-in-zimbabwe-2011', 'zim-vs-nz-1st-odi-new-zealand-in-zimbabwe-2011', 'ZIMBABWE', 'NEW ZEALAND', 'ZIMBABWE', 'Oct 20', '09:30 AM \xa0LOCAL', 'ZIMBABWE==231==6==50', 'NEW ZEALAND==232==1==43', 'ZIMBABWE', 'NEW ZEALAND', '23']


['1988', 'sri-lanka-in-england', 'eng-vs-sl-only-odi-sri-lanka-in-england', 'ENGLAND', 'SRI LANKA', 'ENGLAND', 'Sep 04', '01:00 AM \xa0LOCAL', 'SRI LANKA==242==7==55', 'ENGLAND==245==5==52', 'ENGLAND', 'ENGLAND', '24']


['2005', 'australia-bangladesh-england-in-england-2005', 'eng-vs-ban-7th-match-australia-bangladesh-england-in-england-2005', 'ENGLAND', 'BANGLADESH', 'ENGLAND', 'Jun 26', '01:00 AM \xa0LOCAL', 'BANGLADESH==208==7==50', 'ENGLAND==209==5==38', 'BANGLADESH', 'ENGLAND', '25']


['2004', 'icc-champions-trophy-2004', 'eng-vs-wi-final-icc-champions-trophy-2004', 'ENGLAND', 'WEST INDIES', 'ENGLAND', 'Sep 25', '01:00 AM \xa0LOCAL', 'ENGLAND==217==10==49', 'WEST INDIES==218==8==48', 'WEST INDIES', 'WEST INDIES', '27']


['2001', 'australia-west-indies-zimbabwe-in-australia', 'aus-vs-wi-1st-match-australia-west-indies-zimbabwe-in-australia', 'AUSTRALIA', 'WEST INDIES', 'AUSTRALIA', 'Jan 11', '11:00 AM \xa0LOCAL', 'AUSTRALIA==267==6==50', 'WEST INDIES==193==7==50', 'AUSTRALIA', 'AUSTRALIA', '29']


['2013', 'pakistan-vs-south-africa-in-uae-2013', 'pak-vs-rsa-2nd-odi-pakistan-vs-south-africa-in-uae-2013', 'PAKISTAN', 'SOUTH AFRICA', 'UNITED ARAB EMIRATES', 'Nov 01', '03:00 PM \xa0LOCAL', 'PAKISTAN==209==10==49', 'SOUTH AFRICA==143==10==40', 'PAKISTAN', 'PAKISTAN', '30']


['2014', 'asian-cricket-council-premier-league-2014', 'hk-vs-uae-8th-match-asian-cricket-council-premier-league-2014', 'HONG KONG', 'UNITED ARAB EMIRATES', 'MALAYSIA', 'May 04', '10:00 AM \xa0LOCAL', 'HONG KONG==157==10==45', 'UNITED ARAB EMIRATES==158==8==48', 'UNITED ARAB EMIRATES', 'UNITED ARAB EMIRATES', '31']


['1996', 'australia-india-sri-lanka-zimbabwe-in-sri-lanka', 'sl-vs-aus-3rd-match-australia-india-sri-lanka-zimbabwe-in-sri-lanka', 'SRI LANKA', 'AUSTRALIA', 'SRI LANKA', 'Aug 30', '05:30 AM \xa0LOCAL', 'AUSTRALIA==228==9==50', 'SRI LANKA==232==6==45', 'AUSTRALIA', 'SRI LANKA', '33']


['1995', 'sri-lanka-in-new-zealand-odi-series', 'nz-vs-sl-3rd-odi-sri-lanka-in-new-zealand-odi-series', 'NEW ZEALAND', 'SRI LANKA', 'NEW ZEALAND', 'Apr 01', '12:00 PM \xa0LOCAL', 'SRI LANKA==250==6==50', 'NEW ZEALAND==199==10==46', 'SRI LANKA', 'SRI LANKA', '35']


['1988', 'new-zealand-in-india-odi-series', 'ind-vs-nz-1st-odi-new-zealand-in-india-odi-series', 'INDIA', 'NEW ZEALAND', 'INDIA', 'Dec 10', '05:30 AM \xa0LOCAL', 'NEW ZEALAND==196==9==50', 'INDIA==197==6==46', 'INDIA', 'INDIA', '38']


['1999', 'india-west-indies-in-canada', 'ind-vs-wi-2nd-odi-india-west-indies-in-canada', 'INDIA', 'WEST INDIES', 'CANADA', 'Sep 12', '08:00 PM \xa0LOCAL', 'WEST INDIES==190==6==50', 'INDIA==120==10==41', 'WEST INDIES', 'WEST INDIES', '39']


['2004', 'australia-india-zimbabwe-in-australia', 'ind-vs-zim-12th-match-australia-india-zimbabwe-in-australia', 'INDIA', 'ZIMBABWE', 'AUSTRALIA', 'Feb 03', '08:00 AM \xa0LOCAL', 'ZIMBABWE==135==10==34', 'INDIA==136==6==30', 'ZIMBABWE', 'INDIA', '40']


['2008', 'bangladesh-in-south-africa-odi-series', 'rsa-vs-ban-1st-odi-bangladesh-in-south-africa-odi-series', 'SOUTH AFRICA', 'BANGLADESH', 'SOUTH AFRICA', 'Nov 07', '02:30 PM \xa0LOCAL', 'SOUTH AFRICA==283==8==50', 'BANGLADESH==222==10==44', 'SOUTH AFRICA', 'SOUTH AFRICA', '41']


['2011', 'icc-world-cup-2011', 'ban-vs-rsa-39th-match-group-b-icc-world-cup-2011', 'BANGLADESH', 'SOUTH AFRICA', 'BANGLADESH', 'Mar 19', '09:30 AM \xa0LOCAL', 'SOUTH AFRICA==284==8==50', 'BANGLADESH==78==10==28', 'SOUTH AFRICA', 'SOUTH AFRICA', '42']


['2004', 'pakistan-sri-lanka-zimbabwe-in-pakistan-2004', 'pak-vs-zim-1st-match-pakistan-sri-lanka-zimbabwe-in-pakistan-2004', 'PAKISTAN', 'ZIMBABWE', 'PAKISTAN', 'Sep 30', '05:00 AM \xa0LOCAL', 'PAKISTAN==292==7==50', 'ZIMBABWE==148==10==38', 'PAKISTAN', 'PAKISTAN', '43']


['1995', 'bangladesh-india-pakistan-sri-lanka-in-united-arab-emirates-1995-asia-cup', 'ban-vs-ind-1st-match-bangladesh-india-pakistan-sri-lanka-in-united-arab-emirates-1995-asia-cup', 'BANGLADESH', 'INDIA', 'UNITED ARAB EMIRATES', 'Apr 05', '04:00 AM \xa0LOCAL', 'BANGLADESH==163==10==44', 'INDIA==164==1==27', 'BANGLADESH', 'INDIA', '44']


['2003', 'bangladesh-in-pakistan-odi-series', 'pak-vs-ban-2nd-odi-bangladesh-in-pakistan-odi-series', 'PAKISTAN', 'BANGLADESH', 'PAKISTAN', 'Sep 12', '05:00 AM \xa0LOCAL', 'PAKISTAN==243==8==50', 'BANGLADESH==169==10==42', 'PAKISTAN', 'PAKISTAN', '45']


['1999', 'australia-in-zimbabwe-odi-series', 'zim-vs-aus-2nd-odi-australia-in-zimbabwe-odi-series', 'ZIMBABWE', 'AUSTRALIA', 'ZIMBABWE', 'Oct 23', '02:00 AM \xa0LOCAL', 'ZIMBABWE==116==10==37', 'AUSTRALIA==117==1==28', 'AUSTRALIA', 'AUSTRALIA', '46']


['2000', 'new-zealand-in-south-africa-odi-series', 'rsa-vs-nz-5th-odi-new-zealand-in-south-africa-odi-series', 'SOUTH AFRICA', 'NEW ZEALAND', 'SOUTH AFRICA', 'Nov 01', '02:00 AM \xa0LOCAL', 'NEW ZEALAND==114==5==32', 'SOUTH AFRICA==158==4==30', 'SOUTH AFRICA', 'SOUTH AFRICA', '47']


['1986', 'australia-in-india-odi-series', 'ind-vs-aus-4th-odi-australia-in-india-odi-series', 'INDIA', 'AUSTRALIA', 'INDIA', 'Oct 02', '05:30 AM \xa0LOCAL', 'AUSTRALIA==238==6==45', 'INDIA==242==7==43', 'INDIA', 'INDIA', '48']


